FROM , TO
0 , 1
0 , 1
1 , 0
4 , 1
4 , 2
4 , 2
4 , 0
6 , 3
6 , 3
6 , 4
6 , 0
0 , 9
6 , 4
6 , 4
6 , 0
8 , 6
8 , 6
4 , 5
4 , 5
4 , 6
4 , 0
0 , 6
8 , 0
4 , 6
4 , 0
6 , 4
8 , 4
0 , 4
0 , 4
0 , 4
7 , 0
5 , 4
5 , 4
5 , 4
5 , 4
5 , 6
5 , 0
8 , 5
8 , 5
8 , 5
8 , 0
5 , 8
5 , 8
6 , 8
9 , 0
0 , 5
0 , 5
0 , 5
3 , 5
3 , 5
3 , 6
3 , 6
3 , 8
3 , 8
3 , 6
3 , 0
1 , 3
1 , 3
1 , 3
1 , 3
1 , 0
7 , 1
7 , 1
7 , 1
7 , 1
7 , 1
7 , 0
6 , 7
10 , 3
10 , 3
10 , 3
10 , 3
10 , 0
0 , 7
6 , 0
9 , 6
9 , 6
9 , 6
9 , 6
9 , 8
9 , 7
9 , 10
9 , 0
7 , 9
6 , 9
6 , 7
6 , 7
6 , 7
6 , 7
6 , 0
6 , 9
5 , 6
5 , 6
5 , 0
7 , 5
7 , 5
7 , 5
7 , 6
7 , 0
5 , 6
5 , 6
5 , 6
5 , 0
6 , 5
6 , 5
6 , 5
6 , 5
6 , 7
6 , 7
6 , 0
0 , 6
8 , 0
2 , 6
2 , 6
2 , 6
2 , 6
2 , 6
2 , 7
2 , 6
2 , 6
2 , 0
0 , 2
2 , 7
2 , 0
7 , 2
0 , 2
4 , 2
4 , 2
4 , 2
4 , 2
4 , 2
4 , 0
4 , 2
0 , 2
4 , 0
1 , 4
1 , 2
1 , 4
1 , 4
1 , 4
1 , 4
1 , 0
6 , 1
6 , 1
6 , 1
6 , 1
6 , 1
6 , 1
6 , 0
3 , 1
3 , 4
3 , 4
3 , 4
3 , 6
3 , 6
3 , 6
3 , 6
3 , 0
9 , 0
0 , 3
0 , 3
10 , 0
2 , 3
2 , 3
2 , 0
8 , 0
6 , 2
6 , 8
6 , 0
3 , 2
3 , 2
3 , 6
3 , 0
7 , 0
7 , 3
7 , 3
7 , 0
5 , 3
5 , 3
5 , 3
5 , 3
5 , 3
5 , 3
5 , 3
5 , 6
5 , 0
2 , 5
2 , 5
2 , 5
2 , 5
2 , 5
2 , 5
2 , 5
2 , 5
2 , 0
6 , 2
10 , 2
10 , 2
10 , 0
6 , 10
6 , 10
8 , 0
1 , 2
1 , 10
1 , 2
1 , 2
1 , 0
1 , 6
2 , 1
2 , 1
2 , 1
2 , 0
1 , 2
4 , 1
4 , 2
4 , 1
4 , 1
4 , 7
4 , 1
4 , 2
4 , 0
5 , 0
4 , 0
1 , 4
1 , 4
1 , 4
1 , 2
1 , 4
1 , 2
1 , 2
1 , 4
1 , 2
1 , 0
5 , 1
8 , 0
3 , 1
3 , 1
3 , 1
3 , 1
3 , 1
3 , 1
3 , 1
3 , 1
3 , 1
3 , 0
5 , 3
5 , 3
6 , 0
0 , 3
3 , 0
6 , 0
2 , 3
2 , 3
2 , 3
2 , 3
2 , 0
8 , 0
2 , 0
6 , 0
8 , 0
7 , 0
9 , 0
9 , 0
3 , 9
3 , 9
3 , 9
5 , 0
7 , 0
5 , 7
5 , 2
5 , 2
5 , 0
2 , 5
1 , 5
1 , 5
1 , 5
1 , 2
1 , 2
1 , 2
1 , 0
10 , 0
10 , 0
2 , 1
2 , 10
2 , 1
2 , 0
6 , 0
1 , 6
4 , 0
0 , 1
3 , 0
2 , 0
2 , 6
2 , 0
3 , 0
5 , 0
1 , 0
1 , 2
1 , 2
1 , 0
2 , 1
2 , 1
2 , 0
1 , 2
1 , 2
8 , 0
0 , 1
5 , 0
4 , 0
4 , 0
4 , 0
4 , 0
6 , 0
4 , 0
9 , 0
9 , 0
1 , 0
5 , 0
7 , 0
10 , 0
9 , 0
10 , 0
6 , 0
1 , 0
5 , 0
3 , 0
2 , 0
2 , 0
